name,speaker_occupation,views
Colin Stokes,Proud dad,4146987
Brian Greene,Physicist,4119616
Sandra Aamodt,Neuroscientist and science writer,4102503
Sherry Turkle,Cultural analyst,4066376
Paul Stamets,Mycologist,4060628
Eleanor Longden,Research psychologist,4058274
Ze Frank,"Humorist, web artist",4058219
Edward Snowden,Whistleblower,4040280
Ramesh Raskar,Femto-photographer,4039820
Eli Pariser,Organizer and author,4039403
Andrew Solomon,Writer,4032150
Mihaly Csikszentmihalyi,Positive psychologist,4016531
Theo Jansen,Artist,3982352
Kathryn Schulz,Wrongologist,3976339
Steven Johnson,Writer,3951683
Thordis Elva and Tom Stranger,Writer,3950921
VS Ramachandran,Brain expert,3930186
Tom Wujec,Designer,3917039
Jamila Lyiscott,Poet and educator,3916554
Diane Kelly,Biologist,3886045
Leslie Morgan Steiner,Writer,3846779
Daniel Kahneman,Behavioral economics founder,3841631
Yann Dall'Aglio,Philosopher,3840850
Mark Bittman,Food writer,3830672
Nigel Marsh,Author and marketer,3813685
Bill Gross,Idea guy,3811316
Clint Smith,"Poet, educator",3804535
Bryan Stevenson,Public-interest lawyer,3791888
Edith Widder,Marine biologist,3773245
Julia Sweeney,"Actor, comedian, playwright",3769987
Isabel Allende,Novelist,3741423
Graham Hill,Journalist,3729820
Dan Gilbert,Psychologist; happiness expert,3707266
Jeff Iliff,Neuroscientist,3705589
Kevin Slavin,Algoworld expert,3688975
Roselinde Torres,Leadership expert,3685420
Erik Johansson,Photographer and retoucher,3680820
Hans and Ola Rosling,Global health expert; data visionary,3673455
Malcolm Gladwell,Writer,3665885
Richard St. John,"Marketer, success analyst",3661633
Louie Schwartzberg,Filmmaker,3658158
Elizabeth Gilbert,Writer,3643938
Bunker Roy,Educator,3630894
Mark Applebaum,Composer,3600582
Meaghan Ramsey,Self-esteem advocate,3590381
Frans de Waal,Primatologist,3578701
Michael Pritchard,Inventor,3573198
Michael Norton,Social science researcher,3539952
Adam Grant,Organizational psychologist,3535736
J.J. Abrams,Filmmaker,3519656
Aimee Mullins,Athlete and actor,3472415
Jia Jiang,"Author, blogger, entrepreneur",3464767
Suki Kim,Writer,3460338
Stacey Kramer,Brand strategist,3450119
Genevieve von Petzinger,Paleoanthropologist and rock art researcher,3436514
Sam Harris,"Neuroscientist, philosopher",3433437
Eric Whitacre,"Composer, conductor",3421371
Susan Colantuono,Leadership expert,3404977
Dan Gilbert,Psychologist; happiness expert,3399887
Rives,"Performance poet, multimedia artist",3387765
Julia Sweeney,"Actor, comedian, playwright",3362099
John Green,Writer,3361105
Elora Hardy,Sustainable designer,3351267
Usman Riaz + Preston Reed,Revolutionary Guitarist,3346345
Elizabeth Loftus,False memories scholar,3338820
Brian Greene,Physicist,3327164
Reshma Saujani,Education activist,3325490
Barry Schwartz,Psychologist,3303825
Bobby McFerrin,Musician,3302312
Aubrey de Grey,Crusader against aging,3277740
Joe Smith,Lawyer,3270359
Terry Moore,Thinker,3257749
Elyn Saks,Mental health law scholar,3247799
Isabel Allende,Novelist,3247638
Hans Rosling,Global health expert; data visionary,3243784
Adam Galinsky,Social psychologist,3225186
Paul Piff,Social psychologist,3213217
Julia Galef,Writer,3210972
Al Gore,Climate advocate,3200520
Taylor Wilson,Nuclear scientist,3192405
Regina Hartley,"Human Resources Manager, UPS",3185521
Tim Ferriss,"Investor, human guinea pig, author",3183828
Yves Morieux,Consultant,3170206
Margaret Heffernan,Management thinker,3167353
Lisa Bu,Passionate reader,3158067
Dan Buettner,"Longevity coach, explorer",3157446
Shonda Rhimes,Writer and producer,3148366
Emily Balcetis,Psychologist,3143653
Geena Rocero,Model and activist,3133189
Bill and Melinda Gates,Philanthropist,3130752
Drew Dudley,Leadership educator,3119947
Nadine Burke Harris,Pediatrician,3104326
Mandy Len Catron,Writer,3098476
Rick Warren,"Pastor, author",3095993
Kamal Meattle,Business owner and activist,3095075
Sheena Iyengar,Psycho-economist,3087856
Brian Cox,Physicist ,3074172
ShaoLan,"Technologist, entrepreneur",3062980
Mark Ronson,Music producer and DJ,3061003
Frank Warren,Secret keeper,3055565
Pilobolus,Dance company,3051507
Pico Iyer,Global author,3035515
David R. Dow,Death penalty lawyer,3024826
Adam Driver,Actor and Marine Corps veteran,3016666
Ron Finley,Gardener,3005687
James Flynn,Moral philosopher,2991225
Stefan Sagmeister,Graphic designer,2956967
Juan Enriquez,Futurist,2954577
Kevin Breel,"Comedian, activist",2954036
Chris Anderson,TED Curator,2952041
Improv Everywhere,Social energy entrepreneur,2950307
Hans Rosling,Global health expert; data visionary,2934262
Guy Hoffman,Roboticist,2931366
Alison Gopnik,Child development psychologist,2901853
Sugata Mitra,Education researcher,2895821
Jim Holt,Writer and philosopher,2890269
Itay Talgam,Conductor and leadership expert,2890058
Richard Dawkins,Evolutionary biologist,2885999
Rory Sutherland,Advertising guru,2882836
Steven Levitt,Economist,2863214
Neil Pasricha,"Director, The Institute for Global Happiness",2859644
Wanis Kabbaj,Transportation geek,2859109
Rebecca Saxe,Cognitive neuroscientist,2856240
Nicole Paris and Ed Cage,Beatboxers,2852664
Tabetha Boyajian,Astronomer,2841795
Derek Sivers,Entrepreneur,2835976
Nick Bostrom,Philosopher,2832581
Ernesto Sirolli,Sustainable development expert,2829484
David Epstein,Sports science reporter,2824676
The LXD,Dance adventurers,2797058
Chip Conley,"CEO, author",2785058
Anthony Atala,Surgeon,2783715
Sophie Scott,"Neuroscientist, stand-up comic",2782822
Marc Kushner,Architect,2780484
Tim Ferriss,"Investor, human guinea pig, author",2771442
Maurice Conti,"Designer, futurist",2759051
Charlie Todd,Comedian,2758792
Nilofer Merchant,"Corporate director, author",2735769
Dan Ariely,Behavioral economist,2725557
Jonathan Haidt,Social psychologist,2724208
Matt Killingsworth,Happiness researcher,2723934
Ji-Hae Park,Violinist,2715019
Andrew Stanton,Filmmaker,2702500
Sirena Huang,Violinist,2702470
Alexa Meade,Visual artist,2682427
His Holiness Pope Francis,Bishop of Rome,2679881
iO Tillett Wright,Photographer,2679698
Dan Dennett,"Philosopher, cognitive scientist",2676717
Anil Seth,Cognitive neuroscientist,2664733
Hetain Patel,Artist,2663827
Pico Iyer,Global author,2649262
Morgana Bailey,Human resources professional,2647157
Bill Gates,Philanthropist,2634359
Ash Beckham,Equality advocate,2628178
Carolyn Porco,Planetary scientist,2627709
JR,Street artist,2626483
Matt Mills,Technologist,2623011
Kio Stark,Stranger enthusiast,2618738
Danielle Feinberg,"Director of photography, Pixar",2617414
Joachim de Posada,Speaker and author,2613400
James Randi,Skeptic and conjuror,2611707
Ricardo Semler,Organizational changemaker,2610440
Jon Ronson,Writer and filmmaker,2603397
Julie Lythcott-Haims,"Academic, author",2603203
Rob Reid,"Author, entrepreneur",2598055
Juan Enriquez,Futurist,2595890
Ramsey Musallam,Educator,2592925
Sam Harris,"Neuroscientist, philosopher",2592561
Lisa Kristine,Photographer,2586606
David McCandless,Data journalist,2581998
Hamish Jolly,"Inventor, ocean swimmer",2572038
Dan Dennett,"Philosopher, cognitive scientist",2567958
Isaac Lidsky,"Author, entrepreneur",2561564
Raffaello D'Andrea,Autonomous systems pioneer,2560359
Randall Munroe,Cartoonist,2558702
Yuval Noah Harari,Historian,2556755
Sunitha Krishnan,Anti-trafficking crusader,2543750
James B. Glattfelder,Complex systems theorist,2533881
Wade Davis,"Anthropologist, ethnobotanist",2532851
Sugata Mitra,Education researcher,2528934
Barry Schwartz,Psychologist,2527133
Avi Reichental,3D printer,2526255
Dalia Mogahed,Muslim studies scholar,2520181
Patricia Kuhl,Language ,2513242
Will Potter,Investigative journalist,2507956
Harald Haas,Communications technology innovator,2500389
Kevin Briggs,Golden Gate guardian,2500023
Joseph DeSimone,"Chemist, inventor",2498698
Stella Young,"Comedian, journalist, activist",2494615
Richard Wilkinson,Public health researcher,2487499
Tom Wujec,Designer,2482234
Amy Tan,Novelist,2477746
Deb Roy,Cognitive scientist,2475423
Donald Hoffman,Cognitive scientist,2471075
Tan Le,Entrepreneur,2468906
Neil Harbisson,Sonochromatic Cyborg Artist,2468887
Stanley McChrystal,Military leader,2467385
Dan Meyer,Educator,2465179
Thandie Newton,Actor,2462734
Kakenya Ntaiya,Educator and activist,2460131
Peter Attia,Surgeon,2459753
Suzana Herculano-Houzel,Neuroscientist,2454860
Skylar Tibbits,Inventor,2449740
Eric X. Li,Investor and political scientist,2449736
Ben Ambridge,Psychologist,2446992
Jack Horner,Dinosaur digger,2442996
Sebastian Thrun,Engineer,2442977
Carl Honoré,Journalist,2441805
Marla Spivak,Bees scholar,2436104
Tim Harford,"Economist, journalist and broadcaster",2435682
Christopher McDougall,"Journalist, runner",2434842
Ray Kurzweil,"Inventor, futurist",2434344
Alexander Betts,Social scientist,2432449
Michael Shermer,Skeptic,2428958
Linus Torvalds,Software engineer,2399273
Joshua Klein,Hacker,2398373
Suzanne Simard,Forest ecologist,2396450
Hans Rosling,Global health expert; data visionary,2391977
Carin Bondar,Wild sex biologist,2379244
Sebastian Junger,Journalist and documentarian,2375405
Dan Dennett,"Philosopher, cognitive scientist",2373021
Rory Sutherland,Advertising guru,2371897
Jane Fonda,Actor and activist,2370111
Boaz Almog,Quantum Researcher,2364799
Margaret Heffernan,Management thinker,2362727
Sue Klebold,Activist,2359347
Ruby Wax,Comedian and Mental Health Activist,2352202
Einstein the Parrot,African grey parrot,2350678
Martin Jacques,"Writer, columnist",2327025
Paolo Cardini,Designer,2324212
Sheena Iyengar,Psycho-economist,2314111
Alaa Murabit,Peace expert,2312512
David Brooks,Op-ed columnist ,2306549
Wendy Chung,Geneticist,2305547
Daphne Koller,Educator,2302206
Astro Teller,"Entrepreneur, inventor, author",2300106
Dean Ornish,"Physician, author",2299265
Joe Kowan,Musician and graphic designer,2296874
Larry Page,CEO of Google,2293465
Sarah Lewis,Writer,2293317
AJ Jacobs,Author,2291701
Harry Cliff,Particle physicist,2291444
Dong Woo Jang,Bow designer,2290464
Clifford Stoll,"Astronomer, educator, skeptic",2283491
Julian Assange,Whistleblower,2278271
Mariano Sigman,Neuroscientist,2275945
Latif Nasser,Radio researcher,2272081
Jane Fonda and Lily Tomlin,Actor and activist,2269844
Yanis Varoufakis,Economist and professor,2269380
Stephen Cave,Philosopher,2255033
Sarah-Jayne Blakemore,Cognitive Neuroscientist,2246203
Jessa Gamble,Writer,2244295
Bill Gates,Philanthropist,2239259
George Takei,Actor and activist,2235902
Tony Porter,"Author, educator, activist",2235818
Allan Adams,Theoretical physicist,2233265
Kare Anderson,Writer,2230481
Ben Goldacre,Debunker,2228138
Rosie King,Storytelling activist,2226171
Rodrigo Canales,Business professor,2225283
Alex Kipman,Inventor,2224913
Sebastian Wernicke,Data scientist,2212944
Bill Gates,Philanthropist,2206204
Anand Varma,Photographer,2206061
Ben Goldacre,Debunker,2204314
Alain de Botton,Philosopher,2203020
Sal Khan,Educator and social entrepreneur,2201195
Mellody Hobson,Investment expert,2200326
Curtis "Wall Street" Carroll,Financial literacy advocate,2198889
Susan Savage-Rumbaugh,Primate authority,2197377
Bonnie Bassler,Molecular biologist,2192828
Lidia Yuknavitch,Author,2190919
Philip Zimbardo,Psychologist,2190746
Jeremy Howard,Data scientist,2183690
Mark Bezos,"Activist, volunteer firefighter",2178952
Lisa Genova,"Neuroscientist, novelist",2178534
Arthur Benjamin,Mathemagician,2175141
John McWhorter,Linguist,2173228
David Chalmers,Philosopher,2162764
John McWhorter,Linguist,2162439
William Kamkwamba,Inventor,2161908
Robert Lang,Origamist,2161846
Parul Sehgal,Literary critic,2158038
Matt Ridley,Rational optimist,2156157
Phil Hansen,Multimedia artist,2155416
Joey Alexander,Jazz pianist,2155099
Jocelyne Bloch,Functional neurosurgeon,2152900
Birke Baehr,Aspiring organic farmer,2152734
Kevin Allocca,YouTube trends manager,2145157
Taiye Selasi,Author,2141928
Joseph Kim,North Korean refugee,2140135
Al Seckel,Master of visual illusions,2138907
Hans Rosling,Global health expert; data visionary,2138419
Sheryl Sandberg,"COO, Facebook",2133100
Bjarke Ingels,Architect,2129938
Ziauddin Yousafzai,Education activist,2124521
Martin Rees,Astrophysicist,2121177
David Grady,Information security manager,2120569
Keren Elazari,Cybersecurity expert,2120292
Daniel Goldstein,Behavioral economist,2119412
Don Tapscott,Digital strategist,2110218
Graham Hill,Journalist,2108816
Rufus Griscom + Alisa Volkman,Website co-founders,2108409
Melissa Marshall,Communications teacher,2106788
Andrew McAfee,Management theorist,2102608
Gary Kovacs,,2098639
Martin Pistorius,"Author, designer",2094497
Eric Giler,Wireless electrician,2088983
Daniele Quercia,Map researcher,2084303
Ole Scheeren,Architect,2079266
Beardyman,Beatboxer and inventor,2067955
Alexis Ohanian,Entrepreneur,2066733
Thomas Hellum,Slow television advocate,2065196
Jim Fallon,Neurobiologist,2064604
Steven Pinker,Psychologist,2063367
Gustavo Dudamel and the Teresa Carreño Youth Orchestra,Ensemble,2062308
Jamie Bartlett,Social media analyst,2061368
Dambisa Moyo,Global economist ,2060055
Aimee Mullins,Athlete and actor,2054164
Joi Ito,Relentless mind,2053453
Sue Austin,Performance artist,2052286
Emily Levine,Philosopher-comic,2049904
Morgan Spurlock,Filmmaker,2049103
Chris Urmson,Roboticist,2042978
Phil Plait,Astronomer,2042272
Ronny Edry,Graphic Designer,2033797
Casey Brown,Pricing consultant,2032751
Eduardo Briceño,Learning expert,2031509
Peter Doolittle,Educational psychology professor,2030203
Caroline Casey,Inclusivity activist,2030154
Burt Rutan,Aircraft engineer,2028451
ShaoLan,"Technologist, entrepreneur",2028383
Sergey Brin,"Computer scientist, entrepreneur and philanthropist",2026001
Richard Turere,Inventor,2025005
Joe Gebbia,"Designer, co-founder of Airbnb",2019969
Adam Spencer,Science communicator,2014461
Jennifer Golbeck,Computer scientist,2012614
Denis Dutton,Philosopher,2012387
Linda Hill,Management professor,2009552
Tony Fadell,Product creator,2006050
Fei-Fei Li,Computer scientist,2005189
Christopher Emdin,Education pioneer,2004811
Paul Nicklen,Polar photographer,2004519
Lucianne Walkowicz,Stellar astronomer,2004123
Rich Benjamin,Social observer,1999097
Tali Sharot,Cognitive neuroscientist,1995401
Britta Riley,"Artist, urban farmer",1986542
Bettina Warburg,Blockchain entrepreneur and researcher,1985742
Seth Godin,Marketer and author,1985679
Christopher Ryan,Psychologist,1981978
Helder Guimarães,Magician,1981129
Alex Wissner-Gross,"Scientist, entrepreneur, inventor",1977165
Carl Safina,"Ecologist, writer",1976994
Dan Barber,Chef,1974007
Juan Enriquez,Futurist,1973225
Ray Kurzweil,"Inventor, futurist",1971157
Marco Tempest,Techno-illusionist,1965808
Angélica Dass,Artist and photographer,1961502
Tshering Tobgay,Prime Minister of Bhutan,1954438
Rob Legato,Visual Effects Guru,1952381
Karen Thompson Walker,Novelist,1951290
Paul Bloom,Psychologist,1948949
Michael Rubinstein,"Research scientist, Google",1948196
Benedetta Berti,International policy analyst,1947342
Glenn Greenwald,Journalist,1942778
Matthew O'Reilly,Emergency medical technician,1940683
Stewart Brand,"Environmentalist, futurist",1939539
Vilayanur Ramachandran,Brain expert,1939385
Jennifer Doudna,Biologist,1936760
John Hodgman,Expert,1935213
Sting,"Composer, singer, author, actor, activist",1934877
Anthony Goldbloom,Machine learning expert,1929261
Dennis Hong,Roboticist ,1922563
Janine Benyus,"Science writer, innovation consultant, conservationist",1920434
Dame Stephanie Shirley,Entrepreneur and philanthropist,1919991
Geert Chatrou,Whistler,1917442
Steven Pinker,Psychologist,1914263
Roger Antonsen,"Logician, mathematician, computer scientist",1910593
Chrystia Freeland,Plutocracy chronicler,1909640
Hannah Brencher,Letter enthusiast,1909462
Daniel Suarez,Sci-fi author,1908577
Clint Smith,"Poet, educator",1908266
Rajiv Maheswaran,Researcher,1905680
Jennifer Senior,Writer,1901605
Lawrence Lessig,Legal activist,1895259
Tim Brown,Designer,1893522
Anne Lamott,"Novelist, essayist",1890978
James Cameron,Director,1890066
Alisa Miller,"CEO, Public Radio International (PRI)",1888717
Louie Schwartzberg,Filmmaker,1885751
Diana Laufenberg,Educator,1882742
Harald Haas,Communications technology innovator,1879260
Juan Enriquez,Futurist,1878242
Nicholas Negroponte,Tech visionary,1877673
Ze Frank,"Humorist, web artist",1876053
Bill Gates,Philanthropist,1866264
Yassmin Abdel-Magied,"Mechanical engineer, social advocate",1863929
Adam Alter,Psychologist,1858990
Ken Robinson,Author/educator,1854997
Bernie Dunlap,College president,1854024
David Gruber,"Marine biologist, explorer-photographer",1853424
Yves Morieux,Consultant,1852632
Shereen El Feki,Arab sexuality expert,1852444
Benjamin Wallace,Author,1848521
Lesley Hazleton,"Writer, psychologist",1847256
Young-ha Kim,Writer,1841716
Dave Isay,Story collector,1839891
Michael Specter,Writer,1838628
Stuart Firestein,Neuroscientist,1836382
Dan Pallotta,"Author, speaker, reformer",1836233
Al Vernacchio,Sexuality educator,1836106
Janet Echelman,Artist,1832930
William Ury,Mediator,1828181
Leila Hoteit,Women's advocate,1827512
Rives,"Performance poet, multimedia artist",1827375
Catherine Crump,Attorney + privacy advocate,1824724
Sally Kohn,Political pundit,1822907
Matthieu Ricard,"Monk, author, photographer",1818659
Peter van Uhm,General,1818344
Rives,"Performance poet, multimedia artist",1813665
Jim Hemerling,Organizational change expert,1811178
Juno Mac,Sex worker and activist,1811102
Manwar Ali,Peace activist,1805897
Auke Ijspeert,Roboticist,1805637
Donald Sadoway,Materials engineer,1803069
Mandy Len Catron,Writer,1802516
Bill Stone,"Explorer, inventor and outer space dreamer",1801117
Uri Hasson,Neuroscientist,1800490
Neha Narula,Currency futurist,1799860
Josh Luber,Sneaker data expert,1799799
Eric Liu,Civics educator,1798578
Sleepy Man Banjo Boys,Bluegrass musicians,1798001
Manu Prakash,"Physicist, inventor",1797519
Kathryn Schulz,Wrongologist,1791790
Fabian Oefner,Photographer,1789403
David Bolinsky,Medical animator,1788182
Geoffrey Canada,Education reformer,1786965
Marco Tempest,Techno-illusionist,1785193
Philippe Starck,Designer,1783740
Jean-Baptiste Michel + Erez Lieberman Aiden,Data researcher,1783040
Mehdi Ordikhani-Seyedlar,Neuroscientist,1781721
Alec Soth + Stacey Baker,Photo editor,1780746
Nick Veasey,X-ray visionary,1780196
Massimo Banzi,Physical Computing Guru,1778974
Ben Saunders,Arctic explorer,1778739
Elliot Krane,Pediatric anesthesiologist,1778606
Yang Lan,"Media mogul, TV host",1776828
Julie Burstein,Writer and radio producer,1776779
Chris Burkard,Surf photographer,1773697
Jinha Lee,"Interface designer, engineer",1772635
David Merrill,MIT grad student,1765153
