name,speaker_occupation,views
Jennifer Lin,"Pianist, composer",1628912
Robin Nagle,Trash anthropologist,1628594
Marina Abramović,Performance artist,1626686
Cesar Harada,"Inventor, environmentalist, educator",1625784
Jackson Katz,Anti-sexism educator,1625776
Stuart Brown,"Play researcher, psychiatrist",1625469
Patricia Ryan ,Language teacher,1624741
Rose George,Curious journalist,1624716
Ed Yong,Science writer,1624605
Cédric Villani,Mathematician,1624428
Al Gore,Climate advocate,1624248
Amy Purdy,Pro snowboarder,1624184
Mac Barnett,Children's book author,1623955
Nick Hanauer,"Venture capitalist, author",1623637
JD Schramm,Communicator,1621707
Malte Spitz,"Politician, data activist",1619108
Regina Dugan,Former director of DARPA,1618434
Laura Schulz,Cognitive scientist,1617977
Linda Liukas,"Programmer, storyteller and illustrator",1617536
Linda Cliatt-Wayman,High school principal,1617292
Brian Cox,Physicist ,1616851
Sofia Jawed-Wessel,Sex researcher,1614524
Tea Uglow,Designer,1613847
Dave Meslin,Artist and organizer,1612925
Mia Birdsong,Family activist,1612561
Eduardo Sáenz de Cabezón,Math educator,1610293
Richard Branson,Entrepreneur,1609555
Jenni Chang and Lisa Dazols,Documentary filmmakers,1609136
Camille Seaman,Photographer,1608679
Neri Oxman,"Architect, designer",1607427
Sarah Jones,Polymorphic playwright,1607397
Renny Gleeson,Skeptimist,1605113
Daniel Goleman,Psychologist,1604402
Navi Radjou,Innovation strategist,1601624
Moshe Safdie,Architect,1600522
Nic Marks,Happiness researcher,1597719
Dan Dennett,"Philosopher, cognitive scientist",1596067
Lisa Harouni,3D printing entrepreneur,1595655
Ludwick Marishane,Entrepreneur,1594495
Kelli Jean Drinkwater,"Artist, activist ",1594248
Rives,"Performance poet, multimedia artist",1594241
Ari Wallach,Futurist,1593651
Helen Fisher,"Anthropologist, expert on love",1593458
Sebastião Salgado,Photojournalist,1593382
Ethan Nadelmann,Drug policy reformer,1593079
Noy Thrupkaew,Global journalist,1591696
Alix Generous,Advocate,1591495
Caleb Harper,Principal Investigator and Director of the Open Agriculture Initiative,1589527
Stephen Wilkes,Narrative photographer,1588740
Aspen Baker,Listener,1588477
Nancy Etcoff,Evolutionary psychologist,1587823
Travis Kalanick,Entrepreneur,1587546
Russ Altman,Big data techno-­optimist and internist,1587090
Thomas Heatherwick,Designer,1586547
Boyd Varty,Environmental and literacy activist,1585575
Danit Peleg,Fashion designer,1582286
Taryn Simon,Photographer,1581054
Philip Zimbardo,Psychologist,1580239
Cameron Herold,Entrepreneur,1579033
Margaret Gould Stewart,User experience master,1576773
Dean Kamen,Inventor,1575699
Meron Gribetz,"Founder and CEO, Meta",1575381
Michael Porter,Business strategist,1573620
Shigeru Ban,Architect,1573440
Andy Yen,Secure email developer,1571516
Charmian Gooch,Anti-corruption activist,1570996
Vernā Myers,Diversity advocate,1569991
Kwame Anthony Appiah,Philosopher,1569284
Rainer Strack,Human resources expert,1568869
Juan Enriquez,Futurist,1567528
Rob Knight,Microbial ecologist,1566854
Dame Ellen MacArthur,Circular economy advocate,1566602
Lucy McRae,Body architect ,1565486
Niall Ferguson,Historian,1564173
Kenneth Shinozuka,Smart product inventor,1559585
Julian Treasure,Sound consultant,1557795
Michael Dickinson,Biologist,1555722
Shimpei Takahashi,Toy designer,1550060
Sean Carroll,"Physicist, cosmologist",1549458
Olivier Scalabre,Industrial systems thinker,1548845
Carol Fishman Cohen,"CEO and co-founder, iRelaunch",1546664
Taylor Wilson,Nuclear scientist,1546610
Ivan Coyote,"Writer, performer",1546530
Erin McKean,Dictionary editor,1545629
Billy Collins,Poet,1545239
William Kamkwamba,Inventor,1543596
Kevin Rudd,International relations expert ,1543588
Stephen Wolfram,"Scientist, inventor",1542898
Mark Shaw,Macroencapsulator,1539504
Kelli Swazey,Anthropologist,1538661
John Legend,"Singer, musician, composer",1538107
Margaret Heffernan,Management thinker,1537390
Kevin Kelly,Digital visionary,1536873
Mikko Hypponen,Cybersecurity expert,1535238
Peter Singer,"Philosopher, ethicist",1533054
Maryn McKenna,Public health journalist,1532875
Billy Graham,Preacher,1532675
Sarah Jones,Polymorphic playwright,1531675
Latif Nasser,Radio researcher,1531606
Harish Manwani,"COO, Unilever",1531497
Sam Richards,Sociologist,1531265
Joshua Prager,Journalist,1531062
Handspring Puppet Co.,Puppeteers,1530711
Paul Zak,Neuroeconomist,1529057
Alice Goffman,Urban sociologist,1528815
Ron Eglash,Mathematician,1527858
Aomawa Shields,"Astronomer, astrobiologist, actor, writer",1526242
Sherwin Nuland,Doctor,1522858
James Watson,"Biologist, Nobel laureate",1520908
Chris Jordan,Artist,1520108
Lucy Kalanithi,Caregiver,1515749
Jonathan Haidt,Social psychologist,1515162
Mick Cornett,Mayor,1514912
Yuval Noah Harari,Historian,1514291
John Underkoffler,Interface designer,1514014
Pamela Ronald,Plant geneticist,1512972
Geraldine Hamilton,Bio researcher,1511694
William Black,Academic,1509188
Jason Pontin,Editor,1507409
Molly Winter,Designer,1507057
Mike Matas,Software engineer,1507048
Samuel Cohen,Research scientist,1506693
Sarah Jones,Polymorphic playwright,1506064
Jim Al-Khalili,Quantum physicist,1503884
Riccardo Sabatini,"Scientist, entrepreneur",1503016
Katie Bouman,Imaging scientist,1502615
Melissa Fleming,Voice for refugees,1502400
Conrad Wolfram,Mathematician,1499219
Jennifer Kahn,Science journalist,1498103
Eddie Obeng,Business Educator,1495331
 OK Go,Band,1493866
Robert Thurman,Buddhist scholar,1493606
Chris Milk,Immersive storyteller,1492275
Manal al-Sharif,Women’s rights activist,1492163
Jill Shargaa,Comedian + Designer,1492005
Garrett Lisi,Physicist,1491698
Tyler DeWitt,Science enthusiast,1489438
Tony Wyss-Coray,Brain scientist,1488893
Paul Greenberg,Author,1488694
Laura Robinson,Ocean scientist,1487112
Shea Hembrey,Artist and curator,1486880
Sugata Mitra,Education researcher,1486853
Colin Powell,Former U.S. Secretary of State,1485801
Christopher deCharms,Brain researcher,1485761
Naturally 7,A capella ensemble,1485196
Luis von Ahn,Computer scientist,1482664
Anand Agarawala,Interaction designer; software developer,1479503
Marcin Jakubowski,Farmer and technologist,1479352
Elizabeth Lev,Art historian,1477852
Pico Iyer,Global author,1477238
Steve Silberman,Writer and editor,1476377
Marc Raibert,Roboticist,1475823
Amber Case,Cyborg Anthropologist ,1475333
Eric Haseltine,"Author, futurist, innovator",1475291
Toby Shapshak,Technology writer,1474261
Aaron Koblin,Data artist,1474192
Derek Paravicini and Adam Ockelford,Musician,1471722
Tristram Stuart,Author and Activist,1471114
Hans Rosling,Global health expert; data visionary,1471039
Jinsop Lee,Multi-sense designer,1469884
Onora O'Neill,Philosopher,1469734
Barbara Natterson-Horowitz,Cardiologist,1469248
AJ Jacobs,Author,1468930
Jill Heinerth,Cave diver,1468644
Sebastian Wernicke,Data scientist,1468497
Lisa Nip,Synthetic biologist ,1468353
Judy MacDonald Johnston,Entrepreneur,1467971
LZ Granderson,Journalist,1466095
Caroline Paul,Author,1465808
James Green, Space physicist,1465749
Sarah Bergbreiter,Microroboticist,1465712
Uldus Bakhtiozina,photographer + visual artist,1464877
Lorrie Faith Cranor,Security researcher,1463585
Iwan Baan,Urban documentarian,1463086
Sangu Delle,Entrepreneur,1460852
P.W. Singer,Military analyst,1460352
Maya Penn,"Entrepreneur, animator, philanthropist ...",1458485
Ash Beckham,Equality advocate,1458290
Mark Plotkin,Amazonian ethnobotanist,1454878
Kitra Cahana,Vagabond photojournalist + conceptual artist,1454663
Alison Killing,Architect,1453242
Roxane Gay,Writer,1453205
Chelsea Shields,"Activist, anthropologist, consultant",1452861
Sergey Brin + Larry Page,"Computer scientist, entrepreneur and philanthropist",1451846
Joan Halifax,"Author, Zen priest",1451656
Christopher "moot" Poole","Founder, 4chan",1451649
Michael Kimmel,Sociologist,1447861
Tavi Gevinson,Blogger and fashion icon,1447603
Jason deCaires Taylor,Sculptor,1446673
Ann Morgan,"Writer, blogger, author",1446267
Renata Salecl,Theorist,1445859
Drew Berry,Biomedical animator,1443353
Lawrence Lessig,Legal activist,1443340
Ueli Gegenschatz,Aerialist,1442990
Marlene Zuk,Evolutionary biologist,1441565
Dambisa Moyo,Global economist ,1440785
Shaka Senghor,Author,1439616
Frans Lanting,Nature photographer,1439341
Shashi Tharoor,Politician and writer,1437808
Shivani Siroya,Mobile finance entrepreneur,1437353
Alan Eustace,Stratospheric explorer,1437261
Anjan Chatterjee,Cognitive neuroscientist,1436714
Geoffrey West,Theorist,1435933
Marc Abrahams,Science humorist,1435886
Tristan Harris,Design thinker,1434311
Sarah Gray,Researchers' dream donator,1431262
Eric Sanderson,Landscape ecologist,1431255
Rose George,Curious journalist,1430350
James Beacham,Experimental particle physicist,1430257
Marco Annunziata,Economist,1429564
Karima Bennoune,Professor of international law,1429067
Aditi Gupta,"Social entrepreneur, co-founder of Menstrupedia",1428083
Alan Russell,Medical futurist,1427723
Kenneth Lacovara,Paleontologist,1426970
Jae Rhim Lee,Artist,1426518
William McDonough,Architect,1426390
Serena Williams and Gayle King,Athlete,1426132
Brian Skerry,Photographer,1426130
Anne-Marie Slaughter,Public policy thinker,1424893
Rachel Sussman,"Artist, photographer",1424250
Michael Anti,Blogger,1423930
Daniel H. Cohen,Philosopher,1423637
Alastair Parvin,Designer,1422767
Ashley Judd,"Actor, activist",1422701
Anas Aremeyaw Anas,Undercover journalist,1421509
Mark Pagel,Evolutionary biologist,1421357
Stephen Petranek,Technology forecaster ,1419325
Rutger Bregman,Historian,1419314
Francesco Sauro,Speleologist,1418492
Paula Hammond,Medical researcher and educator ,1417316
Kiran Sethi,Educator,1417163
Amy Smith,"inventor, engineer",1415724
Alyson McGregor,Women's health pioneer,1414721
Blaise Agüera y Arcas,Software architect,1413042
Fahad Al-Attiya,Food security expert,1412688
Patricia Burchat,Particle physicist,1410164
Charles Leadbeater,Innovation consultant,1409327
Rana el Kaliouby,Computer scientist,1407692
Jennifer Brea,Filmmaker,1406574
JK Rowling,Author,1406151
Sean Follmer,Human-computer interaction researcher and designer,1406128
Steven Addis,Brand strategist,1405909
Mona Chalabi,Data journalist,1405468
Courtney E. Martin,Journalist,1404984
David Logan,Professor of management,1404586
Bruce Feiler,Writer,1403668
Ellen Jorgensen,"Biologist, community science advocate",1400803
Casey Gerald,American,1399811
Svante Pääbo,Geneticist,1399333
Rishi Manchanda,Physician,1399303
eL Seed,Artist,1398751
James Lyne,Cybersecurity specialist,1397126
Andreas Ekström,Author and journalist,1396735
Tom Hulme,"Designer, venturer",1396369
Nathan Myhrvold,Polymath,1396197
Lux Narayan,Entrepreneur,1395806
Philip Evans,Consultant,1395038
Marco Tempest,Techno-illusionist,1394503
John Hunter,Educator,1394203
Marcel Dicke,Ecological entomologist,1393541
Jessica Shortall,"Strategy consultant, social entrepreneur and author",1392660
Alex Steffen,Planetary futurist,1392010
Bjorn Lomborg,Global prioritizer,1391142
Abraham Verghese,Physician and author,1390908
Kevin Kelly,Digital visionary,1389133
Jimmy Carter,Peace activist,1388335
Abe Davis,Computer scientist,1386424
Tim Leberecht,Business romantic,1385538
Danny Dorling,Social geographer,1384978
Dean Ornish,"Physician, author",1384333
Quixotic Fusion,Performance ensemble,1383079
Kate Adams,Digital storyteller,1381604
Deborah Gordon,Ecologist,1378298
Ismael Nazario,Prison reform advocate,1378025
Nagin Cox,Spacecraft operations engineer,1374091
Cosmin Mihaiu,Physical therapy entrepreneur,1373382
Dan Cobley,Online marketing whiz,1373377
Sakena Yacoobi,Education activist,1371548
Jeff Hawkins,"Computer designer, brain researcher",1371482
Laurel Braitman,Science Historian + Writer,1370965
Eythor Bender,Berkeley Bionics' CEO,1370710
Safwat Saleem,"Artist, graphic designer, filmmaker",1370547
Alan Smith,Data visualisation editor,1369939
Harry Baker,Poet,1369263
Arvind Gupta,Toymaker,1367702
Janine Shepherd,Pilot,1367089
Sara Seager,Exoplanet expert,1365646
Kaki King,Guitarist,1365169
Peter Diamandis,Space activist,1363726
Grace Kim,Architect,1363680
Grady Booch,"Scientist, philosopher",1362265
Leslie T. Chang,Journalist,1362071
Didier Sornette,Risk economist,1361404
Lesley Hazleton,"Writer, psychologist",1361374
Hugh Evans,Humanitarian,1360404
Jessica Jackley,Microlender,1359611
Michael Pollan,Environmental writer,1359400
Jeremy Heimans,Activist,1358570
Kevin Kelly,Digital visionary,1358292
Dave Eggers,"Author, publisher, education activist",1357888
Bassam Tariq,Creative spirit,1356917
Kirby Ferguson,Filmmaker and Remixer,1356163
Jeff Speck,Urban planner,1354647
Luma Mufleh,Refugee activist,1354522
Tim Berners-Lee,Inventor,1352069
Rodney Brooks,Roboticist,1351691
Eve Ensler,"Playwright, activist",1349669
Thomas Piketty,Economist,1349623
Vijay Kumar,Roboticist,1349253
Ralph Langner,Security consultant,1349028
Aaron Huey,Photographer,1347633
Tristan Harris,Design thinker,1346060
Sam Kass,Food entrepreneur,1345520
Talithia Williams,Statistician,1345444
Colin Camerer,Behavioral economist,1342712
David Anderson,Neurobiologist,1342510
Heribert Watzke,Food scientist,1342475
Boniface Mwangi,,1342431
Jim Yong Kim,"President, World Bank Group",1342356
Joshua Prager,Journalist,1341106
Tim Brown,Designer,1340175
Jimmy Nelson,Last tribes photographer,1339843
Andrew Blum,Network author,1337967
E.O. Wilson,Biologist,1335732
Nikolai Begg,Mechanical engineer,1332920
Mitchell Joachim,"Architect, designer",1332785
John Searle,Philosopher,1332731
Shlomo Benartzi,Economist,1332298
Jill Farrant,Professor of molecular and cell biology,1332162
Paul Pholeros,Architect,1330614
Nicholas Christakis,"Physician, social scientist",1324929
Brian Goldman,"Physician, broadcaster",1324838
Tal Golesworthy,Engineer and artist,1324704
Michael Bierut,"Designer, critic",1323235
Shubhendu Sharma,Eco-entrepreneur,1320671
Jay Silver,Inventor,1319453
David Baron,Science writer,1319327
Chimamanda Ngozi Adichie,Novelist,1318454
Ursus Wehrli,Comedian,1314201
Dave Brain,Planetary scientist,1311426
The Lady Lifers,Inmates,1310078
Christopher Soghoian,Privacy researcher and activist,1307805
Dave Troy,Technologist,1307615
Rachel Botsman,Trust researcher,1307557
Chris Anderson,TED Curator,1306536
Kees Moeliker,Ornithologist,1306390
Kenneth Cukier,Data Editor of The Economist,1305783
Alessandro Acquisti,Privacy economist,1305155
Martine Rothblatt,Transhumanist,1304737
Liu Bolin,Artist,1304597
Miguel Nicolelis,Neuroscientist,1304427
Caleb Barlow,Cybercrime fighter,1304221
Henry Lin,Student scientist,1304017
Andres Lozano,Neurosurgeon,1303148
Thomas Thwaites,Designer,1301834
Aziz Abu Sarah,Entrepreneur + educator,1301734
Liza Donnelly,Cartoonist ,1300622
Richard Browning,"Founder, Gravity",1297943
Patrícia Medici,Wildlife conservationist,1296514
Siddhartha Mukherjee,Cancer physician and writer,1294952
Dan Barber,Chef,1294705
Stewart Brand + Mark Z. Jacobson,"Environmentalist, futurist",1294171
Eman Mohammed,Photojournalist,1292110
Robyn Stein DeLuca,Psychologist,1290746
Elizabeth Lesser,Wellness specialist,1290086
Anand Giridharadas,Writer,1287111
Wael Ghonim,Internet activist and computer engineer,1286663
Jennifer 8. Lee,Reporter,1285775
Ryan Holladay,,1284510
George Tulevski,Materials scientist,1284067
Robert Ballard,Oceanographer,1281570
Dilip Ratha,Remittances expert,1281466
Michael Tilson Thomas,"Musician, Conductor",1281099
Margaret Wertheim,Figurer,1280829
Alanna Shaikh,Global health and development specialist,1280380
Timothy Ihrig,Palliative care physician,1279825
Bruno Torturra,Livestreaming activist,1278162
Karen Armstrong,Religious scholar,1277619
Jeremy Kasdin,Planet finder,1276015
Clay Shirky,Social Media Theorist,1275141
Elizabeth Nyamayaro,Political scientist,1272389
Beau Lotto + Amy O'Toole,"Neuroscientist, Artist",1272319
Johanna Blakley,Media maven,1272294
Aaron O'Connell,Physicist,1272198
Wendy Freedman,Astronomer,1272185
Asha de Vos,Protector of whales,1266639
Christopher Soghoian,Privacy researcher and activist,1266485
Danny Hillis,Computer theorist,1265177
Misha Glenny,Underworld investigator,1264969
Michael Patrick Lynch,Philosopher,1264166
Jill Tarter,Astronomer,1263442
James Nachtwey,Photojournalist,1262674
Magda Sayeg,Textile artist,1260939
Jarrett J. Krosoczka,Author/illustrator,1260362
Ed Boyden,Neuroengineer,1260112
Anab Jain,"Futurist, designer",1259603
Trevor Timm,"Writer, activist and legal analyst﻿",1258881
Sunni Brown,Visualizer and gamestorming,1258574
Lisa Dyson,Sustainability crusader,1258539
Carrie Poppy,"Writer, radio host, comedian",1257858
Vanessa Ruiz,Anatomical artist,1257468
Bill T. Jones,"Director/choreographer, dancer",1257079
Michele L. Sullivan,Social innovator,1257054
Ajit Narayanan,Visual grammar engine inventor,1256969
Rodrigo Bijou,Security researcher ,1254964
Trevor Aaronson,Journalist,1252289
Norman Spack,Endocrinologist,1248568
Don Norman,Cognitive scientist and design critic,1248458
Michael Botticelli,Drug policy expert,1247655
Seema Bansal,Education innovator,1246214
Abha Dawesar,Novelist,1245695
Clay Shirky,Social Media Theorist,1245095
Rabbi Lord Jonathan Sacks,Religious leader,1244502
James Hansen,Climatologist,1243930
Robb Willer,Social psychologist,1243853
Topher White,Conservation technologist,1243218
Christine Sun Kim,"Sound artist, composer",1242903
Memory Banda,Activist,1241223
Amy Adele Hasinoff,Communications researcher,1240167
Fred Swaniker,Educational entrepreneur,1239635
Rachel Botsman,Trust researcher,1239316
James A. White Sr.,Consultant,1237938
Michael Merzenich,Neuroscientist,1237391
Laurie Santos,Cognitive psychologist,1236817
Tasos Frantzolas,Entrepreneur,1236485
Jeff Smith,Recovering politician,1233545
Suzanne Talhouk,Poet and language advocate,1233104
David Autor,Economist,1232506
Charles Limb,Researcher,1231800
Andrew Bird,Musician,1231423
Alison Killing,Architect,1231198
David Byrne,"Musician, artist, writer",1231159
Miguel Nicolelis,Neuroscientist,1229865
Robert Full,Biologist,1229640
Markham Nolan,Journalist,1229150
Leyla Acaroglu,Sustainability strategist,1227480
Paul Root Wolpe,Ethicist,1226731
Franz Freudenthal,Pediatric cardiologist,1226441
David Lang,Maker,1225960
Tal Danino,Synthetic biologist,1225763
Negin Farsad,"Comedian, filmmaker",1225718
Julian Treasure,Sound consultant,1225395
Eve Ensler,"Playwright, activist",1224278
Jessica Ladd,"Founder and CEO, Callisto",1224191
Siegfried Woldhek,Illustrator,1224127
Andrew Connolly,Astronomer,1223720
Gavin Pretor-Pinney,Cloudspotter,1223155
Elizabeth Pisani,Author,1222800
Sergei Lupashin,Aerial robotics researcher,1222713
R. Luke DuBois,"Artist, composer, engineer",1222519
Anders Fjellberg,Journalist,1220746
Wendy Troxel,Sleep researcher,1219828
Melati and Isabel Wijsen,Activists,1219306
Martin Rees,Astrophysicist,1219295
Sharon Brous,Rabbi,1219102
Suzanne Lee,Designer,1218882
Joy Sun,Veteran aid worker,1218131
Renny Gleeson,Skeptimist,1217412
Marc Goodman,Global Security Futurist,1217317
Patrick Awuah,University founder,1216429
John Maeda,Artist,1215947
David Rothkopf,Foreign policy strategist,1215662
Edith Widder,Marine biologist,1215549
Fabien Cousteau,Ocean explorer and environmentalist,1215053
Pia Mancini,Democracy activist,1213718
Jorge Soto,Cancer technologist,1213251
Miranda Wang and Jeanny Yao,Science fair winners,1212774
Hod Lipson,Roboticist,1212346
Benoit Mandelbrot,Mathematician,1212079
Cameron Sinclair,"Co-founder, Architecture for Humanity",1211416
Oded Shoseyov,Nanobiotechnologist,1211098
Annette Heuser,Rating agency reformer,1210381
Jonathan Klein,Executive,1209663
Susan Etlinger,Data analyst,1209472
Elizabeth Lesser,Wellness specialist,1208946
Michael Green,Architect,1207550
Pam Warhurst,"Cofounder, Incredible Edible",1206351
Woody Norris,Inventor,1205867
Charles Robertson,Emerging-markets economist,1204089
Laura Snyder,Science historian,1203901
Henry Evans and Chad Jenkins,Robotics activist,1203523
Patience Mthunzi,Laser scientist,1203056
Jessi Arrington,Designer,1202928
Nonny de la Peña,Virtual reality pioneer,1202223
Chieko Asakawa,Visionary inventor,1201029
Molly Crockett,Neuroscientist,1200277
Erik Brynjolfsson,Innovation researcher,1200139
Stefana Broadbent,Tech anthropologist,1198897
Jeff Hancock,Psychologist,1198585
Andrés Ruzo,Geoscientist,1198546
Sally Kohn,Political pundit,1198332
Laura Carstensen,Psychologist,1197677
Neil Burgess,Neuroscientist,1196436
Deeyah Khan,Filmmaker,1195885
David Camarillo,Bioengineer,1195181
Jonas Eliasson,Transportation specialist,1194938
Zeynep Tufekci,Techno-sociologist,1194781
Chris Kluwe,Punter and author,1194762
Bruno Maisonnier,Roboticist,1193896
Tracy Chevalier,Author,1191702
Andrew Pelling,Biohacker,1191591
Richard Ledgett,"Deputy director, NSA",1191342
Rajesh Rao,Computational neuroscientist,1190085
Tristram Wyatt,Zoologist,1189824
Melinda Gates,Philanthropist,1189754
Kailash Satyarthi,Children’s rights activist,1189513
Malcolm London,"Poet, performer, activist",1188177
Thomas Insel,Neuroscientist and psychiatrist,1188149
Frederic Kaplan,Digital humanities researcher,1187105
Molly Stevens,Biomaterials researcher,1185518
Michael Shellenberger,Climate policy expert,1185114
John Graham-Cumming,Computer programmer,1184933
Mike Velings,Entrepreneur and conservationist,1184159
Michael Metcalfe,Financial expert,1184083
Jean-Baptiste Michel,Data researcher,1183303
Laura Indolfi,Biomedical entrepreneur,1183075
Jackie Savitz,Ocean advocate,1182977
Murray Gell-Mann,Physicist,1181696
Kandice Sumner,Educator,1181475
Hubertus Knabe,Historian,1180236
Henry Markram,Neuroscientist,1180127
Suzanne Barakat,Physician,1177013
Lee Mokobe,Poet,1175629
Paul Gilding,Writer,1174189
Rebecca Brachman,"Neuroscientist, writer, entrepreneur",1173589
John Koenig,Writer,1173364
Andrew Youn,Anti-hunger activist,1173235
Tiq Milan and Kim Katrin Milan,Transgender activist,1172873
Ge Wang,Music technologist,1172298
Doris Kim Sung,Architect,1171568
Pardis Sabeti,Computational geneticist,1169214
Bob Mankoff,Cartoon editor,1168185
Ayah Bdeir,Engineer and artist,1168080
LaToya Ruby Frazier,Photographer,1165313
Joseph Redmon,Computer scientist,1164777
Ellen Jorgensen,"Biologist, community science advocate",1164723
Denise Herzing,Dolphin researcher,1164684
Robert Gupta,Violinist,1163387
Elise Roy,"Lawyer, artist, human rights advocate",1162751
Justin Davidson,Architecture critic,1162505
Michael Murphy,Designer,1162011
Vincent Cochetel,Humanitarian,1161560
Dawn Landes,Singer-songwriter,1160841
Michael Sandel,Political philosopher,1160672
Brian Dettmer,,1159937
Susan Pinker,Developmental psychologist,1159426
John Lloyd,Producer,1159134
Robert Sapolsky,"Neuroscientist, primatologist, writer",1158707
Victor Rios,"Educator, author",1158432
Alice Bows-Larkin,Climate scholar,1158020
Christien Meindertsma,Artist,1157394
Daniel Kish,Perceptual navigation specialist,1157388
Amy Green,Video game designer,1156126
Mac Stone,Photographer,1155507
Jane McGonigal,Game Designer,1154880
Eric Berlow,Ecologist,1154719
Nancy Duarte,"CEO, presentation designer",1152886
Andras Forgacs,Bioprinting entrepreneur,1151214
Gavin Schmidt,Climate scientist,1150409
Khalida Brohi,Women’s rights activist and entrepreneur,1149837
Luke Syson,Curator,1149641
Gever Tulley,Tinkerer,1149257
Vik Muniz,Artist,1149090
Julian Treasure,Sound consultant,1147609
Sisonke Msimang,"Writer, activist",1147037
Damon Horowitz,"Philosopher, entrepreneur",1145700
Scilla Elworthy,Peace builder,1145261
Amory Lovins,"Physicist, energy guru",1144360
Jedidah Isler,Astrophysicist,1143028
Melinda Gates,Philanthropist,1141812
Michael Green,Social progress expert,1141254
Billy Collins,Poet,1140425
Tom Gruber,AI product designer,1139827
Sylvia Earle,Oceanographer,1139732
Gayle Tzemach Lemmon,Reporter,1139487
Shai Agassi,Green auto pioneer,1139068
 Rodrigo y Gabriela,Guitar duo,1138566
Ann Cooper,Lunch lady,1137771
Thomas Barnett,Military strategist,1136037
Ilona Szabó de Carvalho,Policy reformer,1135382
Ken Jennings,Know-it-all,1135004
Adam Ostrow,Journalist,1134961
Evan Williams,Twitter co-founder,1134737
Alyssa Monks,Painter,1134525
Todd Coleman,Bioelectronics innovator﻿,1134472
Arthur Brooks,"Social scientist, author ",1132964
Laura Galante,Cyberspace analyst,1132913
Michael Green,Social progress expert,1132771
David Brooks,Op-ed columnist ,1132752
Michael Bodekaer,Entrepreneur,1132257
Eve Ensler,"Playwright, activist",1131864
Nathalie Cabrol,Planetary explorer,1131041
Jonathan Haidt,Social psychologist,1129577
John Hodgman,Expert,1128896
Jennifer Pluznick,Physiologist,1128877
Moshe Szyf,Epigeneticist,1128480
JR,Street artist,1128212
Mary Robinson,Global leader,1126459
Salvatore Iaconesi,Open-source engineer and artist,1126129
Rachel Botsman,Trust researcher,1125092
Rick Smolan,Photographer,1123955
Faith Jegede Cole,Writer,1123786
Dimitar Sasselov,Astronomer,1123482
Steven Johnson,Writer,1122671
Zeynep Tufekci,Techno-sociologist,1120694
Lemon Andersen,Poet and actor,1120276
Melissa Fleming,Voice for refugees,1119970
Janna Levin,Physicist,1119772
Chinaka Hodge,"Writer, educator",1119309
Janine Benyus,"Science writer, innovation consultant, conservationist",1118954
Sonia Shah,Science writer,1118305
Keller Rinaudo,Robotics entrepreneur,1118006
Stephen Burt,Poetry critic,1117996
António Guterres,Designate Secretary-General of the United Nations,1117165
Sajay Samuel,Educator,1116194
Arunachalam Muruganantham,Inventor,1115222
Sheila Patek,"Biologist, biomechanics researcher",1115081
David Casarett,Physician,1114319
Maria Bezaitis,Computer engineer,1114173
Mustafa Akyol,Journalist,1113407
Stephen Ritz,Teacher,1112964
Matthew Carter,Type designer,1112914
Kitra Cahana,Vagabond photojournalist + conceptual artist,1112534
Dan Phillips,Builder,1112351
Rory  Bremner,Comedian,1112000
Shubhendu Sharma,Eco-entrepreneur,1111146
Dean Ornish,"Physician, author",1110781
Quyen Nguyen,Surgeon,1109932
Yves Behar,Designer,1109822
Holly Morris,Explorer and filmmaker,1108528
Frances Larson,Anthropologist,1108371
AJ Jacobs,Author,1107747
Jonathan Rossiter,Roboticist,1107711
Katie Hinde,Lactation researcher,1107309
Will Wright,Game designer,1107307
Jimmy Wales,Founder of Wikipedia,1106561
Bastian Schaefer,Aircraft engineer,1105500
Oren Yakobovich,Human-rights activist,1104834
Avi Rubin,Computer security expert,1104692
Roger Ebert,Film critic and blogger,1104345
Tricia Wang,Technology ethnographer,1103163
Jon Mooallem,Writer,1101811
Roberto D'Angelo + Francesca Fedeli,Parents,1100997
Siamak Hariri,Architect,1098436
Becky  Blanton,Writer,1098346
Eben Bayer,Green designer,1097901
Clay Shirky,Social Media Theorist,1097533
Charles Moore,Oceanographer,1097511
David Deutsch,Quantum physicist,1096862
Angelo Vermeulen,"Space researcher, biologist, artist",1096201
Dan Gross,Gun-control activist,1096198
Lawrence Lessig,Legal activist,1095806
Paula Johnson,Women's-health expert,1095582
Rachel Armstrong,"Applied scientist, innovator",1095398
Jonathan Marks,"Bioethicist, lawyer",1095143
Robert Gordon,Economist,1091988
Joe Sabia,Storyteller,1091352
Naomi Oreskes,Historian of science,1091065
Robert Wright,"Journalist, philosopher",1090180
Alex Laskey,Energy software maker,1089949
David Miliband,Refugee advocate,1088768
Jude Kelly,"Theater director, producer",1086882
Craig Venter,"Biologist, genetics pioneer",1086357
Eric Berlow and Sean Gourley,Ecologist,1085152
Stuart Russell,AI expert,1085138
David Perry,Game designer,1084634
Fred Jansen,Space explorer,1083424
Nancy Kanwisher,Brain researcher,1082869
Paul Knoepfler,Biologist,1082248
Khadija Gbla,Cross-cultural consultant,1081502
Cheyenne Cochrane,Storyteller,1081270
Leymah Gbowee,"Peace activist, Nobelist",1080869
Garry Kasparov,"Grandmaster, analyst",1079698
Lucianne Walkowicz,Stellar astronomer,1079565
Carolyn Jones,Photographic ethnographer,1079349
